2024-01-31 01:59:54.183015
Disciplina,Dia,Inicio,Fim
2100115,sex,09:40,11:20
2100115,sex,08:50,09:40
IOF0266,qua,14:00,16:30
2100114,qui,14:00,14:50
2100114,qui,14:50,15:40
IOB0162,qua,14:00,17:20
IOB0152,dom,09:00,18:00
IOB0152,seg,09:00,18:00
IOB0152,ter,09:00,18:00
IOB0152,qua,09:00,18:00
IOB0152,qui,09:00,18:00
IOB0152,sex,09:00,18:00
IOB0152,sab,09:00,18:00
IOB0165,dom,09:00,18:00
IOB0165,seg,09:00,18:00
IOB0165,ter,09:00,18:00
IOB0165,qua,09:00,18:00
IOB0165,qui,09:00,18:00
IOB0165,sex,09:00,18:00
IOB0165,sab,09:00,18:00
IOB0177,qua,08:00,11:20
IOF0276,qua,14:00,17:20
IOF0251,seg,14:00,17:20
IOF0262,sex,08:50,11:20
IOF1223,ter,09:40,11:20
IOF1223,qui,08:00,09:40
IOB0176,ter,14:00,15:40
IOB0149,ter,14:00,16:30
IOB0178,dom,09:00,18:00
IOB0178,seg,09:00,18:00
IOB0178,ter,09:00,18:00
IOB0178,qua,09:00,18:00
IOB0178,qui,09:00,18:00
IOB0178,sex,09:00,18:00
IOB0178,sab,09:00,18:00
IOB0125,sex,14:00,16:30
IOB0125,sex,16:30,17:20
IOB0145,dom,09:00,18:00
IOB0145,seg,09:00,18:00
IOB0145,ter,09:00,18:00
IOB0145,qua,09:00,18:00
IOB0145,qui,09:00,18:00
IOB0145,sex,09:00,18:00
IOB0145,sab,09:00,18:00
IOB0100,qua,14:00,16:30
IOB0100,qua,16:30,17:20
IOF0201,qua,14:00,16:30
IOF0244,qua,09:40,11:20
IOF0244,qua,08:50,09:40
IOB0164,sex,14:00,16:30
IOB0172,seg,09:00,18:00
IOB0172,ter,09:00,18:00
IOB0172,qua,09:00,18:00
IOB0172,qui,09:00,18:00
IOB0172,sex,09:00,18:00
IOB0147,ter,14:00,15:40
IOB0147,ter,15:40,16:30
IOF0213,qui,14:00,17:20
IOF0259,qui,14:00,16:30
IOF0259,qui,16:30,17:20
2100109,seg,14:00,16:30
IOB0150,qui,14:00,15:40
IOB0150,qui,15:40,16:30
IOF0235,qua,14:00,17:20
IOF0115,seg,14:00,17:20
IOF0290,ter,14:00,16:30
IOB0167,seg,14:00,17:20
IOB0169,seg,08:00,09:40
IOB0169,qui,09:40,11:20
IOB0169,seg,14:00,15:40
IOB0169,sex,08:00,09:40
IOF0221,seg,09:40,11:20
IOF0221,qui,09:40,11:20
IOF0287,ter,08:00,11:20
IOF0289,ter,09:40,11:20
IOF0289,sex,09:40,11:20
IOF0284,qui,08:00,09:40
IOF0284,sex,09:40,11:20
IOF0286,qui,08:00,09:40
IOF0286,sex,08:00,09:40
2100122,seg,10:10,11:50
IOF0255,sex,14:00,16:30
IOF0280,qua,08:00,11:20
IOF0282,qua,08:00,11:20
IOF1224,seg,09:40,11:20
IOF1224,qui,09:40,11:20
IOB0154,qui,14:00,15:40
IOB0154,qui,15:40,16:30
IOF0254,ter,14:00,16:30
IOB0175,qui,14:00,15:40
IOF0232,ter,08:00,10:30
IOF0232,ter,10:30,11:20
IOF0274,sex,08:00,09:40
IOF0274,sex,09:40,11:20
IOB0124,seg,14:00,15:40
IOB0124,seg,15:40,17:20
2100101,qua,09:40,11:20
IOF0265,ter,14:00,16:30
IOF0265,ter,16:30,17:20
2100104,sab,08:00,10:00
2100105,sab,10:00,12:00
